-DOCSTART- -X- -X- O
and CC X O
have VBP X O
a DT X O
desire NN X B-Skill
to TO X I-Skill
succeed VB X I-Skill
. . X O

Do VBP X O
you PRP X O
want VB X O
to TO X O
work VB X O
for IN X O
one CD X O
of IN X O
the DT X O
leading VBG X O
engineering NN X B-Domain
and CC X O
technical JJ X O
recruitment NN X B-Domain
companies NNS X O
in IN X O
the DT X O
UK NNP X O
who WP X O
will MD X O
offer VB X O
you PRP X O
an DT X O
excellent JJ X O
commission NN X O
structure NN X O
and CC X O
the DT X O
chance NN X O
to TO X O
progress VB X O
your PRP$ X O
career NN X O
? . X O

Growing VBG X O
team NN X O
with IN X O
a DT X O
leading VBG X O
Microsoft NNP X O
and CC X O
Cisco NNP X O
partner NN X O
are VBP X O
looking VBG X O
for IN X O
a DT X O
Sales NNS X B-Occupation
Support NNP X I-Occupation
/ VBD X O
Operations NNPS X B-Occupation
Support NNP X I-Occupation
Executive NNP X I-Occupation
to TO X O
join VB X O
the DT X O
London NNP X O
commercial JJ X O
team NN X O
. . X O

My PRP$ X O
client NN X O
, , X O
a DT X O
leading VBG X O
enterprise NN X O
level NN X O
Microsoft NNP X O
Solutions NNP X O
provider NN X O
, , X O
is VBZ X O
currently RB X O
seeking VBG X O
an DT X O
experienced JJ X B-Skill
Solutions NNS X B-Occupation
Architect VBP X I-Occupation
to TO X O
work VB X O
on IN X O
a DT X O
number NN X O
of IN X O
large JJ X O
Microsoft NNP X B-Skill
Dynamics NNP X I-Skill
CRM NNP X I-Skill
projects NNS X O
. . X O

The DT X O
reproduction NN X O
, , X O
transmission NN X O
or CC X O
other JJ X O
use NN X O
of IN X O
all DT X O
or CC X O
any DT X O
part NN X O
of IN X O
this DT X O
advert NN X O
to TO X O
or CC X O
in IN X O
any DT X O
media NNS X O
, , X O
without IN X O
Perfect NNP X O
Placement NNP X O
UK NNP X O
Limited NNP X O
s VBD X O
prior RB X O
written VBN X O
permission NN X O
is VBZ X O
prohibited VBN X O
and CC X O
may MD X O
result VB X O
in IN X O
criminal JJ X O
or CC X O
civil JJ X O
actions NNS X O
. . X O

Excellent JJ X O
training NN X O
for IN X O
new JJ X O
staff NN X O
with IN X O
no DT X O
experience NN X O
is VBZ X O
provided VBN X O
by IN X O
this DT X O
extremely RB X O
wellrespected VBN X O
, , X O
West NNP X O
London NNP X O
based VBN X O
charity NN X O

full JJ X O
time NN X O
staff NN X O
working VBG X B-Skill
with IN X I-Skill
materials NNS X I-Skill
technology NN X I-Skill
within IN X O
the DT X O
main JJ X O
hubs NN X O
of IN X O
Aberdeen NNP X O
, , X O
London NNP X O
, , X O
Norway NNP X O
, , X O
Houston NNP X O
, , X O
Columbus NNP X O
, , X O
Calgary NNP X O
, , X O
Rio NNP X O
and CC X O
Singapore NNP X O
. . X O

**** JJ X O
hotels NNS X O
, , X O
eleven RB X O
in IN X O
Ireland NNP X O
, , X O
three CD X O
in IN X O
Spain NNP X O
and CC X O
the DT X O
rest NN X O
in IN X O
the DT X O
UK NNP X O
. . X O

Experience NNP X O
Previous NNP X B-Skill
experience NN X I-Skill
of IN X I-Skill
new JJ X I-Skill
store NN X I-Skill
formats NNS X I-Skill
preferred VBD X I-Skill
or CC X I-Skill
Retail JJ X I-Skill
in IN X I-Skill
store NN X I-Skill
trials NNS X I-Skill

As IN X O
this DT X O
is VBZ X O
a DT X O
Head NNP X B-Occupation
Chef NNP X I-Occupation
role NN X O
it PRP X O
is VBZ X O
important JJ X O
that IN X O
chefs VBP X B-Occupation
applying VBG X O
for IN X O
the DT X O
role NN X O
are VBP X O
experienced VBN X B-Skill
in IN X O
financial JJ X B-Skill
management NN X O
, , X O
administration NN X B-Skill
and CC X I-Skill
motivating VBG X I-Skill
a DT X I-Skill
team NN X I-Skill
. . X O

The DT X O
successful JJ X O
candidate NN X O
will MD X O
be VB X O
given VBN X O
the DT X O
opportunity NN X O
to TO X O
work VB X O
on IN X O
some DT X O
of IN X O
the DT X O
highest JJS X B-Skill
value NN X I-Skill
AX NNP X I-Skill
implementations NNS X I-Skill
currently RB X O
taking VBG X O
place NN X O
across IN X O
Europe NNP X O
and CC X O
become VB X O
a DT X O
keystone JJ X O
member NN X O
of IN X O
one CD X O
of IN X O
the DT X O
best JJS X O
resourced VBN X B-Skill
and CC X I-Skill
most JJS X I-Skill
highly RB X I-Skill
professional JJ X I-Skill
AX NNP X I-Skill
practices NNS X I-Skill
in IN X O
the DT X O
UK NNP X O
. . X O

Our PRP$ X O
approach NN X O
is VBZ X O
to TO X O
listen VB X B-Skill
to TO X I-Skill
your PRP$ X I-Skill
needs NNS X I-Skill
and CC X O
to TO X O
provide VB X B-Skill
a DT X I-Skill
highvalue JJ X I-Skill
/ NNP X O
low JJ X B-Skill
volume NN X I-Skill
solution NN X I-Skill
for IN X O
all DT X O
of IN X O
your PRP$ X O
recruiting NN X B-Domain
requirements NNS X O
. . X O

The DT X O
current JJ X O
business NN X O
model NN X O
focuses VBZ X O
on IN X O
engaging VBG X B-Skill
with IN X I-Skill
prospective JJ X I-Skill
learners NNS X I-Skill
via IN X I-Skill
an DT X I-Skill
array NN X I-Skill
of IN X I-Skill
channels NNS X I-Skill
including VBG X I-Skill
FE NNP X I-Skill
Colleges NNP X I-Skill
, , X O
Job NNP X B-Skill
Fairs NNP X I-Skill
/ NNP X O
Careers NNP X B-Skill
Guidance NNP X I-Skill
Events NNP X I-Skill
, , X O
Job NNP X B-Skill
Centre NNP X I-Skill
Plus NNP X I-Skill
and CC X I-Skill
Conferences NNP X I-Skill
and CC X O
some DT X O
good JJ X O
relationships NNS X O
already RB X O
exist VBP X O
in IN X O
order NN X O
to TO X O
supply VB X B-Skill
a DT X I-Skill
steady JJ X I-Skill
stream NN X I-Skill
of IN X O

The DT X O
ability NN X O
to TO X O
programme VB X B-Skill
vacuum FW X I-Skill
machine NN X I-Skill
A DT X O
good JJ X B-Skill
work NN X I-Skill
ethic JJ X I-Skill
and CC X O
attention NN X B-Skill
to TO X I-Skill
detail VB X I-Skill
with IN X O
high JJ X B-Skill
focus NN X I-Skill
on IN X I-Skill
quality NN X I-Skill

At IN X B-Experience
least JJS X I-Experience
23 CD X I-Experience
years NNS X I-Experience
exp RB X I-Experience
working VBG X O
as IN X O
an DT X O
HR NNP X B-Occupation
generalist NN X I-Occupation
in IN X O
an DT X O
HR NNP X O
dept NN X O

Assist NN X O
in IN X O
capturing VBG X O
requirements NNS X O
and CC X O
produce VB X B-Skill
accurate JJ X I-Skill
specifications NNS X I-Skill
and CC X O
estimates NNS X O
for IN X O
product NN X B-Skill
development NN X I-Skill
. . X O

We PRP X O
are VBP X O
interested JJ X O
in IN X O
engineers NNS X B-Skill
from IN X I-Skill
either DT X I-Skill
civil JJ X I-Skill
, , X O
electrical JJ X B-Skill
, , X O
track NN X B-Skill
or CC X I-Skill
mechanical JJ X I-Skill
backgrounds NNS X I-Skill
who WP X O
have VBP X O
good JJ X O
railway NN X B-Skill
experience NN X I-Skill
. . X O

This DT X O
is VBZ X O
an DT X O
exciting JJ X O
opportunity NN X O
for IN X O
any DT X O
candidate NN X O
who WP X O
is VBZ X O
keen VBN X O
on IN X O
undertaking VBG X O
an DT X O
interesting JJ X O
and CC X O
varied JJ X O
role NN X O
on IN X O
some DT X O
challenging VBG X O
rail JJ X O
projects NNS X O
with IN X O
a DT X O
leading VBG X O
Engineering NNP X O
Consultancy NNP X O
. . X O

The DT X O
ideal NN X O
Call NNP X B-Occupation
Centre NNP X I-Occupation
Operatives NNP X I-Occupation
will MD X O
be VB X O
Target NNP X B-Skill
driven VBN X I-Skill
with IN X O
Collections NNP X O
and CC X O
/ NNP X O
or CC X O
call VB X B-Skill
centre JJ X I-Skill
experience NN X O
. . X O

This DT X O
is VBZ X O
a DT X O
highly RB X O
challenging JJ X O
opportunity NN X O
for IN X O
a DT X O
suitably NN X O
skilled VBN X B-Skill
and CC X O
immediately RB X O
available JJ X O
accountant NN X B-Occupation
to TO X O
take VB X O
on IN X O
for IN X O
a DT X O
6month JJ X O
period NN X O
. . X O

As IN X O
Credit NNP X B-Occupation
Risk NNP X I-Occupation
and CC X O
Reporting NNP X B-Occupation
Project NNP X I-Occupation
Manager NNP X I-Occupation
/ NNP X O
Business NNP X B-Occupation
Analyst NNP X I-Occupation
, , X O
you PRP X O
will MD X O
be VB X O
supporting VBG X O
the DT X O
business NN X O
analysts NNS X O
in IN X O
their PRP$ X O
investigation NN X O
and CC X O
definition NN X O
of IN X O
data NN X O
flows NNS X O
, , X O
mapping NN X O
and CC X O
transformation NN X O
, , X O
supporting VBG X O
QlikView NNP X B-Occupation
developers NNS X I-Occupation
, , X O
and CC X O
sharing VBG X O
your PRP$ X O
subject JJ X O
matter NN X O
expertise NN X O
of IN X O
financial JJ X O
products NNS X O
to TO X O
ensure VB X O
high JJ X O
quality NN X O
results NNS X O
. . X O

As RB X O
well RB X O
as IN X O
the DT X O
ability NN X O
to TO X O
liaise VB X O
with IN X O
G NNP X B-Occupation
. . X O
P NNP X B-Occupation
s NN X O
and CC X O
other JJ X O
health NN X O
professionals NNS X O
, , X O
you PRP X O
must MD X O
also RB X O
be VB X O
able JJ X O
to TO X O
organise VB X B-Skill
, , X O
supervise NN X B-Skill
and CC X O
aid VBD X B-Skill
the DT X I-Skill
development NN X I-Skill
of IN X I-Skill
the DT X I-Skill
care NN X I-Skill
staff NN X I-Skill
. . X O

The DT X O
main JJ X O
focus NN X O
of IN X O
your PRP$ X O
role NN X O
will MD X O
be VB X O
providing VBG X O
technical JJ X B-Skill
support NN X I-Skill
by IN X O
ensuring VBG X B-Skill
that DT X I-Skill
equipment NN X I-Skill
is VBZ X I-Skill
functioning VBG X I-Skill
properly RB X I-Skill
and CC X O
is VBZ X O
ready JJ X O
to TO X O
use VB X O
as RB X O
well RB X O
as IN X O
preparing VBG X B-Skill
the DT X I-Skill
right JJ X I-Skill
materials NNS X I-Skill
before IN X I-Skill
or CC X I-Skill
during IN X I-Skill
lessons NNS X I-Skill
. . X O

These DT X O
plants NNS X O
take VBP X O
household NN X O
municipal JJ X O
waste NN X O
and CC X O
through IN X O
a DT X O
process NN X O
of IN X O
mass NN X O
burn NN X O
incineration NN X O
and CC X O
heat NN X O
recovery NN X O
produce VBP X O
electricity NN X O
for IN X O
the DT X O
local JJ X O
area NN X O
whilst NN X O
also RB X O
disposing VBG X O
of IN X O
waste NN X O
as IN X O
part NN X O
of IN X O
a DT X O
long JJ X O
term NN X O
waste NN X O
management NN X O
contract NN X O
. . X O

You PRP X O
will MD X O
be VB X O
able JJ X O
to TO X O
use VB X B-Skill
a DT X I-Skill
variety NN X I-Skill
of IN X I-Skill
hand NN X I-Skill
and CC X I-Skill
power NN X I-Skill
tools NNS X I-Skill
and CC X O
have VBP X O
the DT X O
ability NN X O
to TO X O
use VB X B-Skill
tape NN X I-Skill
and CC X I-Skill
other JJ X I-Skill
measuring VBG X I-Skill
instruments NNS X I-Skill
. . X O

Please NNP X O
contact NN X O
Maz NNP X O
by IN X O
email NN X O
with IN X O
your PRP$ X O
CV NNP X O
attached VBD X O
to TO X O
mcrtc VB X O
. . X O
co NN X O
. . X O
uk JJ X O
stating VBG X O
your PRP$ X O
interest NN X O
and CC X O
relative JJ X O
experience NN X O
. . X O

ALL DT X O
APPLICANTS NNP X O
MUST NNP X O
BE NNP X O
FREE NNP X O
TO NNP X O
WORK NNP X O
IN NNP X O
THE NNP X O
UK NNP X O

With IN X O
a DT X O
history NN X O
of IN X O
over IN X O
90 CD X O
years NNS X O
and CC X O
recently RB X O
achieving VBG X O
a DT X O
turnover NN X O
of IN X O
over IN X O

A DT X O
clear JJ X O
and CC X O
practical JJ X O
understanding NN X O
of IN X O
the DT X O
use NN X B-Skill
of IN X I-Skill
quality NN X I-Skill
improvement NN X I-Skill
methodology NN X I-Skill
, , X O
such JJ X O
as IN X O
SPC NNP X B-Skill
, , X O
DOE NNP X B-Skill
, , X O
PokaYoka NNP X B-Skill
, , X O

ie NN X O
scientific JJ X B-Skill
/ NNP X O
medical JJ X B-Skill
instruments NNS X I-Skill
Experience NN X I-Skill
working VBG X I-Skill
in IN X I-Skill
a DT X I-Skill
highly RB X I-Skill
regulated VBN X I-Skill
industry NN X I-Skill
Ability NNP X I-Skill
to TO X I-Skill
innovate VB X I-Skill
concept NN X I-Skill
designs NNS X I-Skill
Commercially NNP X I-Skill
aware JJ X I-Skill
and CC X O
be VB X O
able JJ X B-Skill
to TO X I-Skill
identify VB X I-Skill
product NN X I-Skill
cost NN X I-Skill
saving VBG X I-Skill
opportunities NNS X I-Skill
. . X O

The DT X O
role NN X O
also RB X O
requires VBZ X O
the DT X O
practical JJ X O
experience NN X O
of IN X O
applying VBG X O
that IN X O
knowledge NN X O
and CC X O
offering NN X O
suggestions NNS X O
and CC X O
direction NN X O
to TO X O
the DT X O
programme NN X O
and CC X O
other JJ X O
specialist NN X O
engineers NNS X O
, , X O
subcontractors NNS X O
and CC X O
the DT X O
customer NN X O
. . X O

XHTML IN X B-Skill
ALL DT X O
APPLICANTS NNP X O
MUST NNP X O
BE NNP X O
FREE NNP X O
TO NNP X O
WORK NNP X O
IN NNP X O
THE NNP X O
UK NNP X O

25 CD X O
days NNS X O
holiday NN X O
Are VBP X O
you PRP X O
looking VBG X O
to TO X O
start VB X O
your PRP$ X O
career NN X O
in IN X O
the DT X O
recruitment NN X B-Domain
industry NN X O
? . X O

Preparation NN X B-Skill
of IN X I-Skill
reports NNS X I-Skill
to TO X I-Skill
management NN X I-Skill
on IN X I-Skill
issues NNS X I-Skill
identified VBN X I-Skill
during IN X I-Skill
the DT X I-Skill
audit NN X I-Skill
Responsibility NNP X I-Skill
for IN X I-Skill
managing VBG X I-Skill
the DT X I-Skill
successful JJ X I-Skill
completion NN X I-Skill
of IN X I-Skill
the DT X I-Skill
audit NN X I-Skill
The DT X O
Candidate NNP X O
Qualified NNP X B-Qualification
accountant NN X I-Qualification
Chartered NNP X I-Qualification
Accountant NNP X I-Qualification
or CC X O
equivalent JJ X O
Excellent NNP X O
knowledge NN X O
of IN X O
accounting NN X B-Skill
and CC X I-Skill
auditing NN X I-Skill
, , X O
preferably RB X O
obtained VBN X O
in IN X O
a DT X O
Big NNP X O
4 CD X O
environment NN X O
Strong NNP X B-Skill
team NN X I-Skill
leading NN X I-Skill
, , X O
interpersonal JJ X B-Skill
and CC X I-Skill
communication NN X I-Skill
skills NNS X I-Skill
Excellent JJ X O
drive NN X O
, , X O
commitment NN X B-Skill
and CC X O
enthusiasm NN X B-Skill

The DT X O
Role NNP X O
Vehicle NNP X B-Occupation
Technician NNP X I-Occupation
Job NNP X O
Responsibilities NNP X O
Undertake NNP X B-Skill
vehicle NN X I-Skill
service NN X I-Skill
and CC X I-Skill
standard JJ X I-Skill
general JJ X I-Skill
repairs NNS X I-Skill
Use NNP X I-Skill
diagnostic JJ X I-Skill
equipment NN X I-Skill
as IN X O
a DT X O
matter NN X O
of IN X O
routine JJ X O
Maintain NNP X B-Skill
safe JJ X I-Skill
working NN X I-Skill
practices NNS X I-Skill
and CC X O
insure NN X B-Skill
that IN X I-Skill
your PRP$ X I-Skill
work NN X I-Skill
standards NNS X I-Skill
are VBP X I-Skill
in IN X I-Skill
accordance NN X I-Skill
with IN X I-Skill
HSO NNP X I-Skill
requirements NNS X I-Skill
. . X O

Working VBG X O
closely RB X O
with IN X O
the DT X O
sales NNS X B-Domain
and CC X O
marketing NN X B-Domain
team NN X O
, , X O
the DT X O
ideal JJ X O
candidate NN X O
will MD X O
have VB X O
the DT X O
following JJ X O
attributes NNS X O
: : X O
Excellent NNP X O
telephone NN X B-Skill
manner NN X O
telesales NNS X B-Domain
experience RBR X O
desirable JJ X O
Excellent NN X O
at IN X O
building VBG X B-Skill
relationships NNS X I-Skill
and CC X I-Skill
enhancing VBG X I-Skill
existing VBG X I-Skill
Self NNP X I-Skill
motivated VBD X I-Skill
, , X O
with IN X O
a DT X O
' '' X B-Skill
cando NN X I-Skill
' POS X I-Skill
approach NN X I-Skill
and CC X O
enjoy VB X O
working VBG X O
in IN X O
sales NNS X B-Domain
environment NN X I-Domain

run VB X B-Skill
unit NN X I-Skill
tests NNS X I-Skill
for IN X I-Skill
all DT X I-Skill
code NN X I-Skill
changes NNS X I-Skill
to TO X I-Skill
ensure VB X I-Skill
high JJ X I-Skill
quality NN X I-Skill
of IN X I-Skill
all DT X I-Skill
changes NNS X I-Skill
Participate NNP X I-Skill
in IN X I-Skill
the DT X I-Skill
design NN X I-Skill
of IN X I-Skill
new JJ X I-Skill
software NN X I-Skill
applications NNS X O
Problem NNP X B-Skill
solve NN X I-Skill
and CC X I-Skill
debug NN X I-Skill
complex JJ X I-Skill
software NN X I-Skill
systems NNS X I-Skill
to TO X I-Skill
allow VB X I-Skill
defect JJ X I-Skill
analysis NN X I-Skill
and CC X I-Skill
fixing VBG X I-Skill
Adhere NNP X I-Skill
to TO X I-Skill
department NN X I-Skill
procedures NNS X I-Skill
and CC X I-Skill
practices NNS X I-Skill
, , X O
including VBG X B-Skill
coding NN X I-Skill
standards NNS X I-Skill
, , X O
secure NN X B-Skill
coding NN X I-Skill
standards NNS X I-Skill
, , X O
build JJ X B-Skill
processes NNS X I-Skill
, , X O
source NN X B-Skill
control NN X I-Skill
and CC X I-Skill
development NN X I-Skill
process NN X I-Skill

Ensure NN X B-Skill
all DT X I-Skill
works NNS X I-Skill
are VBP X I-Skill
signed VBN X I-Skill
off RP X I-Skill
by IN X I-Skill
the DT X I-Skill
client NN X I-Skill

Selfmotivated VBN X B-Skill
Able JJ X I-Skill
to TO X I-Skill
work VB X I-Skill
well RB X I-Skill
on IN X I-Skill
own JJ X I-Skill
initiative NN X I-Skill
as RB X O
well RB X O
as IN X O
part NN X O
of IN X O
a DT X O
team NN X O
Solid NNP X O
decision NN X B-Skill
making NN X I-Skill
skills NNS X I-Skill

Our PRP$ X O
global JJ X O
automotive JJ X O
OEM NNP X O
client NN X O
located VBN X O
in IN X O
Bedfordshire NNP X O
are VBP X O
currently RB X O
seeking VBG X O
a DT X O
Harness NNP X B-Occupation
Layout NNP X I-Occupation
Engineer NNP X I-Occupation
to TO X O
join VB X O
them PRP X O
on IN X O
a DT X O
rolling NN X O

PLLocation NN X O
: : X O
West NNP X O
London NNP X O
Catch NNP X O
Resource NNP X O
Management NNP X O
is VBZ X O
a DT X B-Skill
leading VBG X I-Skill
provider NN X I-Skill
of IN X I-Skill
Dynamics NNP X I-Skill
AX NNP X I-Skill
, , X O
JD NNP X B-Skill
Edwards NNP X I-Skill
, , X O
SAP NNP X B-Skill
, , X O
Java NNP X B-Skill
and CC X I-Skill
. . X O
Net JJ X B-Skill
resources NNS X I-Skill
to TO X I-Skill
both DT X I-Skill
end NN X I-Skill
users NNS X I-Skill
and CC X I-Skill
to TO X I-Skill
product NN X I-Skill
suppliers NNS X I-Skill
/ JJ X O
authors NNS X B-Skill
. . X O

Ensure NN X B-Skill
that IN X I-Skill
processes NNS X I-Skill
are VBP X I-Skill
efficient JJ X I-Skill
, , X O
deliver JJ X B-Skill
benefit NN X I-Skill
and CC X O
are VBP X B-Skill
adhered VBN X I-Skill
to TO X I-Skill
. . X O

Essential JJ X O
for IN X O
this DT X O
position NN X O
is VBZ X O
the DT X O
ability NN X O
to TO X O
manipulate VB X B-Skill
data NNS X I-Skill
and CC X O
produce VB X B-Skill
reports NNS X I-Skill
within IN X I-Skill
Excel NNP X I-Skill
Vlookups NNP X I-Skill
, , X O
Pivot NNP X B-Skill
Tables NNP X I-Skill
. . X O

Our PRP$ X O
client NN X O
is VBZ X O
a DT X O
leading VBG X O
residential JJ X B-Domain
developer NN X I-Domain
within IN X O
the DT X O
UK NNP X O
, , X O
who WP X O
is VBZ X O
looking VBG X O
to TO X O
expand VB X O
its PRP$ X O
already RB X O
strong JJ X O
land NN X O
teams NNS X O
. . X O

Working VBG X B-Skill
with IN X I-Skill
business NN X I-Skill
leaders NNS X I-Skill
and CC X I-Skill
front JJ X I-Skill
line NN X I-Skill
colleagues NNS X I-Skill
, , X O
you PRP X O
will MD X O
be VB X O
able JJ X B-Skill
to TO X I-Skill
recognise VB X I-Skill
and CC X I-Skill
prioritise VB X I-Skill
improvements NNS X I-Skill
. . X O

topologies NNS X B-Skill
as RB X I-Skill
well RB X I-Skill
as IN X I-Skill
surface NN X I-Skill
mount NN X I-Skill
assembly NN X I-Skill
is VBZ X O
essential JJ X O
. . X O

In IN X O
the DT X O
case NN X O
of IN X O
those DT X O
for IN X O
whom WP X O
English NNP X O
is VBZ X O
not RB X O
the DT X O
first JJ X O
language NN X O
, , X O
have VBP X O
a DT X O
minimum NN X B-Qualification
of IN X I-Qualification
English NNP X I-Qualification
language NN X I-Qualification
proficiency NN X I-Qualification
IELTS NNP X I-Qualification

Experience NN X B-Skill
of IN X I-Skill
multisite JJ X I-Skill
management NN X I-Skill
at IN X I-Skill
a DT X I-Skill
senior JJ X I-Skill
level NN X I-Skill
in IN X I-Skill
project NN X I-Skill
operations NNS X I-Skill
discipline NN X I-Skill
. . X O

Main JJ X O
Duties NNS X O
: : X O
Reporting VBG X B-Skill
directly RB X I-Skill
to TO X I-Skill
Partners NNPS X I-Skill
and CC X I-Skill
liaising VBG X I-Skill
with IN X I-Skill
other JJ X I-Skill
managers NNS X I-Skill
as IN X I-Skill
required JJ X I-Skill
Planning NNP X I-Skill
, , X O
supervision NN X B-Skill
and CC X I-Skill
review NN X I-Skill
of IN X I-Skill
audit NN X I-Skill
and CC X I-Skill
accounts NNS X I-Skill
cases NNS X O
including VBG X O
preparing VBG X O
notes NNS X O
for IN X O
Partners NNPS X O
. . X O

All DT X O
correspondence NN X O
will MD X O
be VB X O
dealt VBN X O
with IN X O
in IN X O
the DT X O
strictest NN X O
of IN X O

The DT X O
practice NN X O
is VBZ X O
one CD X O
of IN X O
the DT X O
company NN X O
s VBZ X O
flagship NN X O
stores NNS X O
. . X O

Role NNP X O
Scrub NNP X B-Occupation
Practitioner NNP X I-Occupation
ODP NNP X I-Occupation
or CC X O
Nurse NNP X B-Occupation
Hours NNP X O
37 CD X O
. . X O
5 CD X O
hrs NN X O
per IN X O
week NN X O

Manage NN X B-Skill
absence NN X I-Skill
and CC X I-Skill
specialist JJ X I-Skill
adjustments NNS X I-Skill
against IN X I-Skill
corporate JJ X I-Skill
and CC X I-Skill
statutory JJ X I-Skill
policies NNS X I-Skill
. . X O

Due JJ X O
to TO X O
rapid JJ X O
expansion NN X O
they PRP X O
are VBP X O
currently RB X O
looking VBG X O
for IN X O
senior JJ X B-Skill
Head NNP X B-Occupation
or CC X I-Occupation
Executive NNP X I-Occupation
Chefs NNP X I-Occupation
to TO X O
join VB X O
their PRP$ X O
business NN X O
. . X O

You PRP X O
must MD X O
be VB X O
dynamic JJ X B-Skill
, , X O
driven RB X B-Skill
, , X O
passionate VB X B-Skill
about IN X O
representing VBG X B-Skill
a DT X I-Skill
market NN X I-Skill
leading VBG X I-Skill
organisation NN X I-Skill
and CC X O
driven NN X O
to TO X O
move VB X B-Skill
through IN X I-Skill
the DT X I-Skill
ranks NNS X I-Skill
of IN X I-Skill
the DT X I-Skill
Senior NNP X I-Skill
Sales NNS X I-Skill
function NN X I-Skill
. . X O

Keep NNP X O
abreast NN X O
of IN X O
current JJ X O
and CC X O
cuttingedge NN X O
Android NNP X B-Skill
technologies VBZ X I-Skill
to TO X O
ensure VB X O
outstanding JJ X O
and CC X O
compelling JJ X O
apps NNS X O
are VBP X O
produced VBN X O
. . X O

My PRP$ X O
client NN X O
, , X O
an DT X O
SME NNP X O
business NN X O
based VBN X O
in IN X O
the DT X O
Blackwood NNP X O
area NN X O
, , X O
currently RB X O
has VBZ X O
an DT X O
exciting JJ X O
opening NN X O
for IN X O
a DT X O
Financial NNP X B-Occupation
Controller NNP X I-Occupation
to TO X O
join VB X O
their PRP$ X O
team NN X O
. . X O

They PRP X O
are VBP X O
expanding VBG X O
their PRP$ X O
web NN X O
development NN X O
team NN X O
and CC X O
are VBP X O
looking VBG X O
to TO X O
recruit VB X O
a DT X O
Web NNP X B-Occupation
Developer NNP X I-Occupation
with IN X O
extensive JJ X O
experience NN X O
in IN X O
web NN X B-Skill
design NN X I-Skill
, , X O
as RB X O
well RB X O
as IN X O
being VBG X O
a DT X O
talented VBN X B-Skill
coder NN X O
. . X O

A DT X O
great JJ X O
' POS X O
one CD X O
stop NN X O
shop NN X O
' '' X O
for IN X O
all DT X O
their PRP$ X O
clients NNS X O
' POS X O
needs NNS X O
, , X O
who WP X O
can MD X O
be VB X O
anyone NN X O
from IN X O
start VB X O
up RP X O
companies NNS X O
to TO X O
those DT X O
who WP X O
are VBP X O
already RB X O
established VBN X O
. . X O

They PRP X O
selfdeliver VBP X O
virtually RB X O
all DT X O
our PRP$ X O
hard JJ X O
FM NNP X O
services NNS X O
nationally RB X O
. . X O

We PRP X O
are VBP X O
also RB X O
recruiting VBG X O
for IN X O
a DT X O
similar JJ X O
Field NNP X B-Occupation
Sales NNS X I-Occupation
Executive NNP X I-Occupation
position NN X O
for IN X O
Thames NNP X O
Valley NNP X O
Oxford NNP X O
or CC X O
Reading NNP X O
based VBN X O
OpenTable NNP X O
is VBZ X O
a DT X O
leading VBG X O
provider NN X O
of IN X O
free JJ X O
, , X O
realtime JJ X O
online NN X O
restaurant NN X O
reservations NNS X O
for IN X O
diners NNS X O
, , X O
as RB X O
well RB X O
as IN X O
a DT X O
computerised JJ X O
reservation NN X O
book NN X O
and CC X O
guest JJS X O
management NN X O
solution NN X O
for IN X O
restaurants NNS X O
. . X O

Our PRP$ X O
aim NN X O
at IN X O
Homebase NNP X O
is VBZ X O
to TO X O
help VB X O
our PRP$ X O
customers NNS X O
realise VBP X O
their PRP$ X O
dream NN X O
home NN X O
and CC X O
to TO X O
help VB X O
our PRP$ X O
employees NNS X O
realise VBP X O
their PRP$ X O
career NN X O
dreams NNS X O
. . X O

The DT X O
main JJ X O
responsibilities NNS X O
of IN X O
this DT X O
challenging JJ X O
role NN X O
will MD X O
be VB X O
to TO X O
act VB X O
as IN X O
first JJ X B-Skill
point NN X I-Skill
of IN X I-Skill
contact NN X I-Skill
for IN X I-Skill
ATM NNP X I-Skill
troubleshooting VBG X I-Skill
including VBG X O
undertaking VBG X O
fault NN X B-Skill
resolution NN X I-Skill
as IN X O
appropriate JJ X O
and CC X O
progressing VBG X O
fault NN X B-Skill
reports NNS X I-Skill
in IN X I-Skill
order NN X I-Skill
to TO X I-Skill
ensure VB X I-Skill
service NN X I-Skill
is VBZ X I-Skill
restored VBN X I-Skill
as RB X O
speedily RB X O
as IN X O
possible JJ X O
. . X O

We PRP X O
hold VBP X O
all DT X O
Yorkshire NNP X O
based VBN X O
candidates NNS X O
initial JJ X O
screening VBG X O
now RB X O
in IN X O
Leeds NNP X O
. . X O

Due JJ X O
to TO X O
the DT X O
nature NN X O
of IN X O
the DT X O
role NN X O
, , X O
flexibility NN X B-Skill
of IN X I-Skill
working VBG X I-Skill
hours NNS X I-Skill
is VBZ X O
required VBN X O
over IN X O
a DT X O

An DT X O
exceptional JJ X O
children NNS X O
s JJ X O
organisation NN X O
is VBZ X O
looking VBG X O
for IN X O
a DT X O
community NN X B-Domain
and CC X I-Domain
appeal NN X I-Domain
fundraiser NN X I-Domain
to TO X O
join VB X O
their PRP$ X O
team NN X O
in IN X O
London NNP X O
. . X O

But CC X O
our PRP$ X O
skillets NNS X O
aren VBP X O
t VB X O
the DT X O
only JJ X O
things NNS X O
that WDT X O
keep VBP X O
our PRP$ X O
customers NNS X O
coming VBG X O
back RB X O
for IN X O
more RBR X O
. . X O

